"","Insufficient_Weight","Normal_Weight","Obesity_Type_I","Obesity_Type_II","Obesity_Type_III","Overweight_Level_I","Overweight_Level_II","MeanDecreaseAccuracy","MeanDecreaseGini"
"Gender",27.6451354836631,12.7583082329561,36.3842339860077,70.4585447022221,58.8530607693213,25.2520544171737,29.7040941051368,64.5083732032175,120.490532516554
"family_history_with_overweight",35.6194029922776,9.38089996307419,31.5484301199829,23.1567840237504,20.211077109039,24.7280259769007,22.5711823891388,37.8613597540585,53.2756532166366
"FAVC",18.1953333899471,3.21252879403769,21.5354105844701,11.5084161845772,13.117530403175,11.7245961032394,33.0915283065921,33.1052349680689,31.8834701876858
"CAEC",47.2785488157731,20.9588196689314,30.070400922384,22.3416143363568,17.6866329696295,26.4842279209331,17.1710999910275,44.5709186388814,71.3431158520408
"SMOKE",5.78146607768332,0.263188258014251,2.72643377272432,4.49835996839556,3.6809327373521,2.34071900517946,2.79185171300586,7.94300589897157,5.06961215025905
"CH2O",27.0657454829215,22.8594207250742,31.3848206585505,37.8562310832151,14.1939068120467,29.6219653217583,17.1960527869284,51.1802943577616,124.899809781679
"SCC",9.18693538583204,1.85443248321115,8.68645540299952,6.26478324356003,5.96773129487307,28.0073513562961,8.3720626544113,26.3340770043256,16.8901564919814
"CALC",27.773804292916,2.70073353702534,36.5529059019329,27.6041122801586,29.4148286738116,39.3962169861088,40.3211038136705,51.1668977263799,74.6759001009901
"TUE_level",23.6462806432829,3.72840899417587,28.9373832844905,15.2205691680307,14.8958281155763,22.8778685029736,21.717501342713,42.5739412506147,57.9053591250329
"FAF_level",20.7201901249375,5.84029777763872,21.2465235916798,14.1760519932534,18.7058970376868,21.6657998957443,18.2936693464076,37.5328257200122,66.2235521199073
"age_group",31.4407607189394,2.94302291319132,41.1699307991185,34.2006415527315,22.5225056493113,38.4365511268493,36.1116332754518,53.5319414075825,76.7306713358756
"Height_group",23.4669602662747,16.6279364466153,37.9727143406044,22.0556600772728,18.7978709282351,35.5098110015103,36.3997186867965,46.2426072944695,94.9671193397671
"Weight_group",60.3077846332504,49.4735476510633,60.4746706363784,76.061724635196,62.1118675842069,59.9517088932448,54.7696369547089,94.3193632824354,297.009489172715
"FCVC_group",28.6980717545708,18.5191579761988,36.7955704057557,32.601943467663,30.6178440506392,23.0999641404892,23.5493364465938,47.4701218626994,59.5217184042378
"NCP_group",31.025490994058,9.86952925325527,37.4950743368979,21.7312447871939,24.1595463519087,31.4222207193985,26.2266662817607,46.0046663261586,85.8897090444352
